country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
MLI,1960,5402550.0,2723692.0,2678858.0,75.4331559588758,,30.459,29.395,31.594,7.019
MLT,1960,326550.0,153927.0,172623.0,75.2964543575704,35.8,68.3440975609756,66.588,70.188,3.62
MMR,1960,21730250.0,10872381.0,10857869.0,76.6502873440346,,44.086,42.408,45.842,5.901
MNE,1960,480579.0,225935.0,254644.0,74.3888322404828,,65.4921951219512,63.94,67.122,3.532
MNG,1960,977595.0,482647.0,494948.0,77.7765452326873,,44.5310487804878,42.273,46.902,6.817
MNP,1960,8736.0,4370.0,4366.0,115.331525757949,,61.39,58.656,64.617,5.958
MOZ,1960,6713695.0,3272411.0,3441284.0,78.7544397761341,,41.197,39.805,42.523,6.312
MRT,1960,824298.0,406738.0,417560.0,79.0352532845653,130.1,43.611,42.727,44.519,6.149
MUS,1960,680331.0,346405.0,333926.0,92.3692031024235,67.8,58.4614146341463,56.778,60.229,5.897
MWI,1960,3628134.0,1744168.0,1883966.0,85.5229913710451,,34.986,33.381,36.582,7.042
MYS,1960,7956197.0,4051975.0,3904222.0,93.2854650323811,68.3,57.168,56.315,58.177,6.412
NAM,1960,591465.0,284739.0,306726.0,87.3758541708247,,48.529,46.512,50.504,6.243
NCL,1960,79819.0,42065.0,37754.0,71.5910312358923,,52.341,48.773,56.878,5.436
NER,1960,3505050.0,1666700.0,1838350.0,100.354745738878,,36.193,35.715,36.584,7.53
NGA,1960,45053782.0,22313789.0,22739993.0,80.0626757362147,,37.207,35.161,39.35,6.364
NIC,1960,1782370.0,886835.0,895535.0,100.779973032128,134.0,46.399,44.998,47.807,7.159
NLD,1960,11486631.0,5720216.0,5766415.0,63.8823136811387,16.4,73.3926829268293,71.5,75.38,3.12
NOR,1960,3581239.0,1784356.0,1796883.0,58.6152541284383,18.4,73.549756097561,71.34,75.87,2.85
NPL,1960,10123658.0,5069700.0,5053958.0,77.4951855171379,217.3,38.652,38.381,38.848,6.069
NRU,1960,4607.0,2923.0,1684.0,63.1373937677054,,57.924,56.314,60.53,5.337
NZL,1960,2371800.0,1192045.0,1179755.0,70.8881964083074,22.6,71.2365853658537,68.7,73.9,4.24
OMN,1960,530485.0,265000.0,265485.0,81.5684811478328,240.0,35.429,33.339,37.732,7.277
PAK,1960,45709310.0,24648027.0,21061283.0,77.7069677889498,167.0,44.101,45.964,41.986,6.8
PAN,1960,1126005.0,573337.0,552668.0,90.503461530653,65.7,60.278,59.297,61.332,5.829
PER,1960,10174127.0,5104761.0,5069366.0,91.0453716766285,152.0,50.597,49.113,52.134,6.941
PHL,1960,27891897.0,14064547.0,13827350.0,102.54712004701,60.9,59.175,57.438,61.111,6.996
PLW,1960,9328.0,4702.0,4626.0,107.750556792873,,54.853,50.722,59.724,7.189
PNG,1960,1995110.0,1054743.0,940367.0,80.2758473622909,145.6,45.805,44.055,48.135,6.018
POL,1960,29637450.0,14333898.0,15303552.0,64.3676726623327,58.0,67.6804878048781,64.9,70.6,2.98
PRI,1960,2358000.0,1166881.0,1191119.0,89.67593408158,,68.627,66.37,71.01,4.796
PRK,1960,11722953.0,5302173.0,6420780.0,68.8035576899955,81.8,55.814,53.637,57.595,3.568
PRT,1960,8857716.0,4240065.0,4617651.0,59.1520291995302,84.2,64.0074634146342,61.266,66.886,3.16
PRY,1960,1883514.0,931845.0,951669.0,100.910088736852,62.4,60.197,57.797,62.637,6.5
PSE,1960,,,,,,,,,
PYF,1960,83671.0,42957.0,40714.0,87.2778548726443,,59.445,58.276,60.922,5.931
QAT,1960,36010.0,18314.0,17696.0,90.9384941675504,,57.773,55.762,59.94,6.531
ROU,1960,18406905.0,8939003.0,9467902.0,53.8133618516661,74.6,65.8605365853659,64.242,67.56,2.34
RUS,1960,119897000.0,53730266.0,66166734.0,57.4705090677439,36.3,67.5261219512195,63.471,71.784,2.52
RWA,1960,3022294.0,1497512.0,1524782.0,109.662256001709,124.4,47.022,46.478,47.541,8.283
SAU,1960,2435403.0,1246996.0,1188407.0,87.364635103322,,45.31,43.219,47.671,7.626
SDN,1960,8364489.0,4197423.0,4167066.0,97.5226338400911,91.6,49.566,48.672,50.474,6.663
SEN,1960,3340907.0,1663055.0,1677852.0,88.6413940766873,126.1,39.668,39.138,40.178,6.996
SGP,1960,1646400.0,872295.0,774105.0,88.8916041674554,35.4,65.5621951219512,62.15,69.145,5.76
SLB,1960,139688.0,73519.0,66169.0,96.7242666216007,117.2,47.683,46.04,49.929,7.065
SLE,1960,2268356.0,1110584.0,1157772.0,72.5486795403684,165.3,33.09,31.574,34.639,6.175
SLV,1960,2791459.0,1379762.0,1411697.0,95.3552838029441,125.5,48.292,46.31,50.351,6.618
SMR,1960,15428.0,7824.0,7604.0,54.1004894615922,,73.197,70.092,76.665,2.428
SOM,1960,2876331.0,1431409.0,1444922.0,90.7429364930946,,43.543,42.102,45.015,7.25
SRB,1960,6638992.0,3186687.0,3452305.0,51.0406436035392,,65.5898536585366,63.964,67.297,2.155
SSD,1960,2931559.0,1459646.0,1471913.0,83.3060708948458,196.7,28.054,25.994,30.397,7.161
STP,1960,68012.0,38236.0,29776.0,57.4862223868846,,43.564,42.28,44.997,6.242
SUR,1960,263918.0,133208.0,130710.0,98.1887132504787,,56.595,54.81,58.68,6.59
SVK,1960,4068095.0,2009527.0,2058568.0,62.2012524451228,30.6,70.2697804878049,68.121,72.526,3.04
SVN,1960,1584720.0,736190.0,848530.0,53.3115337731943,,68.9780487804878,66.1,72.0,2.185
SWE,1960,7484656.0,3733942.0,3750714.0,51.9264386481275,16.3,73.0056097560976,71.23,74.87,2.17
SWZ,1960,345337.0,167308.0,178029.0,99.1913202475644,135.4,46.389,44.909,47.815,6.752
SXM,1960,2715.0,1282.0,1433.0,96.3123644251627,,66.351,65.002,67.46,4.767
SYC,1960,41700.0,21001.0,20699.0,80.5820197470986,71.7,60.5314390243903,58.089,63.096,5.313
SYR,1960,4673500.0,2407840.0,2265660.0,101.254855351437,105.2,52.723,51.996,53.535,7.505
TCA,1960,5599.0,2523.0,3076.0,102.935846321131,,56.292,52.587,59.542,5.991
TCD,1960,3049838.0,1505820.0,1544018.0,81.7363230238707,142.0,39.216,37.842,40.6,6.25
TGO,1960,1673110.0,823448.0,849662.0,90.685625323392,133.9,43.536,41.988,45.103,6.797
THA,1960,26851747.0,13542208.0,13309539.0,88.9563700331458,112.8,50.608,48.987,52.339,6.325
TJK,1960,2112131.0,1034493.0,1077638.0,80.0862689326117,,52.535,50.464,54.626,6.235
TKM,1960,1643457.0,802226.0,841231.0,82.9370428541374,,52.149,48.031,56.525,6.59
TLS,1960,468118.0,235995.0,232123.0,74.3374597783339,,32.402,31.021,33.882,6.319
TON,1960,66170.0,33675.0,32495.0,95.4223272297696,,58.315,55.861,61.1,6.651
TTO,1960,844943.0,424679.0,420264.0,85.6772733265943,62.1,62.505,60.989,64.14,5.405
TUN,1960,4267288.0,2129970.0,2137318.0,89.1581192205279,,44.049,43.039,45.084,7.157
TUR,1960,28329898.0,14427651.0,13902247.0,85.7769738415505,179.1,50.799,48.044,53.822,6.383
TUV,1960,5598.0,2720.0,2878.0,81.7532467532468,135.3,48.261,45.774,50.889,5.146
TZA,1960,9901419.0,4862279.0,5039140.0,89.7514229317184,121.5,42.596,41.204,43.986,6.536
