"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3457703245441","18.1421295195222","17.1652607934677","15.2158406814774","14.6021997048498","13.8378108205561","13.054158353852","12.3414809879968","","","10.981890801462","","","","8.20952300917552","","","","","","","7.81901547654473","6.5074465895357","5.97337311779243","6.38100224974367","","","7.87933797104325","","","","","",
"Cuba","CUB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27","7.61","7.1","6.23","6.26","5.45","4.08","3.31","2.33","1.854","1.95","1.913","1.788","1.583","1.67","2.5","3.18","3.498","3.29","2.7","2.4","2","1.7","1.7","","","","","","",
"Curacao","CUW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","","13.03","12.61","11.71","","","13.43","","19.07","","","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91","","7.22","5.74","4.94","5.1","4.14","4.17","","","7.54","5.37","3.61","3.45","3.54","2.62","3.83","3.97","6.04","6.68","6.78","6.21","6.27","4.7","4.24","","","","","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.9","7.4","3.1","2","1.7","2","2.6","2.8","3.3","3.3","3.3","3.7","3.4","2.8","2.3","1.8","3","2.09","2.7","2.7","2.6","3.1","3.4","3.3","5.532","4.766","4.043","3.336","4.153","4.77","5.481","4.593","3.946","3.756","5.594","6.359","7.942","12.097","16.131","16.277","15.026","13.006","11.155","8.504","7.155","7.755","7.513","6.806","5.835","4.862",
"Czechia","CZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","2.27","2.6","4.349","4.284","4.082","3.852","4.674","6.455","8.702","8.764","8.128","7.28","7.777","8.298","7.927","7.141","5.316","4.392","6.662","7.281","6.712","6.979","6.953","6.108","5.048","3.952","2.893","2.246","2.015","2.55","2.803","2.224","2.579","2.603",
"Germany","DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.449","6.673","6.875","6.608","6.813","6.319","5.705","4.89","5.316","6.323","7.675","8.727","8.158","8.822","9.861","9.787","8.854","7.917","7.773","8.482","9.779","10.727","11.193","10.277","8.732","7.508","7.88","7.043","5.967","5.372","5.316","4.979","4.612","4.104","3.781","3.384","3.163","3.881","3.594","3.137","3.071","3.372",
"Djibouti","DJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.064","","","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.33","","9.53","","","","","","23.18","","15.67","","10.96","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","0.9","2.1","5.1","5.3","6.4","7.3","6.1","7","9.2","10","9.745","8.867","7.797","6.033","6.091","6.486","8.149","8.338","9.099","9.027","10.719","8.036","6.992","6.844","5.4","5.039","5.141","4.476","4.164","4.274","5.398","5.204","4.83","3.897","3.801","3.683","6.409","7.746","7.769","7.798","7.384","6.925","6.278","5.989","5.833","5.131","5.018","5.644","5.065","4.434","5.094","6.151",
"Dominican Republic","DOM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.432","7.262","6.779","6.938","6.303","6.587","5.654","5.158","4.764","5.467","5.212","6.087","6.722","7.351","6.719","7.605","7.284","5.832","5.861","6.356","6.126","7.702","5.504","5.555","5.314",
"Algeria","DZA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.64","21.26","20.6","24.38","26.23","27.74","31.84","","25.43","","","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.207","11.206","10.202","12","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75762756237607","2.57237388070758","2.54760222267913","2.79371137250645","3.11860321825038","3.05536822733482","3.22735965043716","3.32189979028154","3.5518874856757","3.6088443895079","4.07894938342172","3.78916766484944","4.21179881333051","4.3091943971776","4.33716317984073","4.47588174303605","4.378078409723","4.20933102066523","4.38068337650941","4.22341441916056","3.93499251300714","3.87505367889353","3.79978976338522","3.74201525143652","3.75915789834287","","","3.52925156009553","4.2959664288698","4.33704444038144","4.82179514809106","4.54924606708269","","","",
"Early-demographic dividend","EAR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23535519561607","","","","","","5.46028303413179","","","","","5.94069719370366","","","","","4.9200812959819","","5.03133339162792","","","","","","7.03405576571646","6.42947769257713","7.51279630285864","6.63791163891088","5.59763297470017","4.97572507067258","",
"East Asia & Pacific","EAS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7378614887887","2.60058019659668","2.60067969983671","2.84602278965133","3.14015149699562","3.09256606234645","3.26184863360144","3.35277491029448","3.69953643291275","3.78365203391937","4.13853926674773","3.90880015279319","4.31215846484609","4.38359136383701","4.36352758063738","4.45840782746785","4.34056896772944","4.16183339970971","4.31732608842007","4.29420307856997","4.01909975423112","3.91376402957684","3.83128437487543","3.77071877096652","3.76348946562197","","","3.52233916633326","4.18474449312255","4.20784150297174","4.69729077688504","4.43455361093288","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.37110412914698","7.66431045056936","8.20639212379428","9.23753433149776","10.5519747502234","8.55866794538757","9.18371452821665","8.77034901766766","8.58926883279383","8.42504849200814","7.94081093051231","8.10223997617596","8.41546517193158","8.5912513481401","10.3461618415711","9.88397383290408","8.79416115464191","8.46504208131931","8.41821741606095","8.82754009259594","8.83519499857112","8.94860491156291","9.03087889806838","9.10320623584476","9.64778858896742","9.23895310378473","9.96446987419393","","","",
