"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Population, female","SP.POP.TOTL.FE.IN","120470","121349","122157","123100","124081","125099","126186","127042","127583","127854","127651","127383","127487","127692","127805","127896","127929","127926","127802","127580","127781","128384","129023","129705","130412","131111","131763","132349","132841","133258","133578","133969","134485","134940","135323","135624","135847","136002","136112","136229","135978","136169","137166","138116","139016","139868","140675","141467","142315","143159","143764","144164","144518","144841","145144","145424","145691","145940","146174","146388","146596","146790","146907","146972","147044",
"Brunei Darussalam","BRN","Population, female","SP.POP.TOTL.FE.IN","41322","43035","44752","46572","48521","50525","52579","54678","56810","58966","60357","61321","63127","65441","67788","70171","72582","75043","77537","80052","82618","85243","88133","91331","94692","98220","101897","105462","108841","112222","115630","119145","122698","126194","129680","133156","136617","140072","143515","146948","150376","153763","157076","160290","163381","166348","169198","172550","176496","180528","184675","188458","191362","193793","196180","198528","200827","203062","205214","207287","209300","211320","213203","215060","217022",
"Bhutan","BTN","Population, female","SP.POP.TOTL.FE.IN","108190","111260","114541","118028","121664","125480","129487","133686","138084","142690","147492","152475","157643","163006","168565","174332","180319","186531","192970","199600","206390","213327","220398","227646","235076","242658","250421","258346","266393","274555","282380","287796","277603","266857","267087","264252","264922","269983","275406","280738","285382","289810","294046","298091","301978","305820","309663","313430","317089","320668","324214","327777","331392","335034","338601","341949","345126","348237","351188","353962","356798","359754","362724","365702","368477",
"Botswana","BWA","Population, female","SP.POP.TOTL.FE.IN","267947","274314","280886","287706","294790","300229","303897","307543","311197","314903","318712","324983","335607","349470","364705","380868","398474","417429","439941","463775","481256","497587","516892","535620","554761","574380","594259","614075","632572","650259","668581","687535","707225","727217","747107","766533","785058","802812","820227","837545","854973","872152","888071","903145","918450","934427","951287","969100","987958","1007858","1028731","1048841","1065697","1080254","1094499","1108731","1123188","1138004","1153188","1168812","1185077","1202318","1221897","1243275","1264574",
"Central African Republic","CAF","Population, female","SP.POP.TOTL.FE.IN","860519","876548","893217","910586","928727","947733","967697","988713","1010865","1033887","1056701","1078491","1099476","1120430","1141938","1164087","1180450","1190808","1201440","1212421","1223822","1235770","1248264","1261282","1274911","1289120","1303839","1319372","1340321","1375084","1419604","1465809","1514190","1564276","1614974","1660846","1705689","1754343","1803604","1854467","1906825","1950353","1994131","2042789","2087676","2135624","2179995","2222591","2270625","2278515","2284121","2320938","2343860","2360261","2354700","2361353","2404318","2446985","2492227","2532900","2581797","2628853","2641776","2684793","2772728",
"Canada","CAN","Population, female","SP.POP.TOTL.FE.IN","8848220","9037912","9220526","9406794","9597655","9783692","9976323","10163518","10334801","10484066","10630940","10941768","11072549","11217990","11383864","11560804","11725894","11877269","12009530","12140390","12306806","12467722","12625403","12759834","12889906","13015632","13149360","13325840","13504466","13755869","13967885","14143139","14318211","14484401","14648495","14805153","14961771","15108952","15234832","15358924","15497675","15660029","15826407","15967799","16116023","16267070","16431516","16592802","16774720","16968086","17157520","17322863","17505132","17683759","17858518","17994677","18198458","18412189","18668093","18933946","19135365","19240905","19596620","20178393","20785855",
"Central Europe and the Baltics","CEB","Population, female","SP.POP.TOTL.FE.IN","47286154","47680213","48047843","48446527","48870318","49215721","49552108","49994435","50414485","50778024","51047963","51305889","51674473","52060606","52482750","52953787","53428271","53858299","54216954","54529801","54829274","55128523","55433046","55722057","56001849","56266977","56526458","56775952","56989879","57068846","57060414","56944068","56789914","56785394","56804945","56754295","56659291","56581971","56518776","56460964","56174303","55790815","55442670","55270640","55117653","54964722","54823806","54618238","54418545","54349542","54127061","53906569","53741191","53537611","53370419","53193067","53007383","52826935","52663257","52522190","52168826","51653953","51587189","51635336","51567952",
"Switzerland","CHE","Population, female","SP.POP.TOTL.FE.IN","2746639","2799341","2867418","2925635","2971496","3003743","3033139","3068709","3105502","3138952","3161282","3178136","3202940","3228522","3248140","3248934","3232725","3223631","3225376","3232578","3245410","3262286","3279973","3293159","3304157","3317659","3334078","3354304","3378091","3403794","3436100","3478345","3517390","3549179","3577458","3601892","3618484","3627370","3637956","3654232","3673916","3697240","3724029","3749643","3773473","3795494","3816917","3846725","3889535","3933824","3971699","4012563","4051493","4094044","4140660","4184723","4225870","4261877","4292491","4322164","4352266","4383967","4419358","4474165","4546181",
"Channel Islands","CHI","Population, female","SP.POP.TOTL.FE.IN","57044","57549","58153","58824","59522","60199","60852","61513","62164","62800","63417","64050","64687","65287","65854","66354","66717","66957","67165","67367","67577","67933","68460","69028","69647","70285","70938","71639","72374","73143","73957","74570","74860","75030","75149","75215","75368","75646","75953","76235","76469","76769","77164","77566","77963","78362","78769","79189","79613","80044","80492","80944","81403","81851","82279","82618","82837","83064","83393","83762","84074","84339","84597","84865","85111",
"Chile","CHL","Population, female","SP.POP.TOTL.FE.IN","4058358","4146092","4234288","4322932","4411333","4498689","4585067","4670545","4755293","4839891","4924261","5008404","5092891","5177686","5262236","5346764","5431557","5516497","5601460","5686394","5772168","5858718","5946090","6035762","6128356","6223813","6321814","6423099","6528236","6636418","6747789","6860925","6972677","7082328","7190222","7296794","7400977","7500935","7599574","7696489","7789941","7881445","7970111","8054909","8137155","8218877","8300005","8381924","8466194","8551894","8638065","8723368","8806863","8890610","8979128","9071160","9181532","9327873","9495562","9648587","9737386","9783967","9835064","9888681","9941322",
